
Bony del Manyer; Cerdanya; Pirineus; 2.809,3 m 
Pic de la Fossa del Gegant; Ripollès, Conflent; Pirineus; 2.807,7 m 
Pic de Dellui; Alta Ribagorça, Pallars Jussà; Pirineus; 2.802,2 m 
Cap de Reguera; Alta Ribagorça, Pallars Jussà; Pirineus; 2.800,5 m 
Tossal des Mussoles; Alta Ribagorça; Pirineus; 2.800,0 m 
Pic d'Areste; Pallars Sobirà; Pirineus; 2.799,6 m 
Pic de Noucreus; Ripollès, Conflent; Pirineus; 2.799,2 m 
Tuqueta deth Pòrt (de Colomèrs); Alta Ribagorça, La Vall d'Aran; Pirineus; 2.798,3 m 
Tuc de Montabòna; Pallars Sobirà; Pirineus; 2.795,2 m 
Tuc de Carants; Alta Ribagorça; Pirineus; 2.791,4 m 
Cap de la Pala Alta d'Estany Llong; Alta Ribagorça, Pallars Sobirà; Pirineus; 2.790,3 m 
Pic d'Eina; Ripollès, Alta Cerdanya; Pirineus; 2.789,2 m 
Pic de Salòria; Alt Urgell, Pallars Sobirà; Pirineus; 2.788,8 m 
Pica del Canigó; Conflent; Canigó, Pirineus2.786 m
Tuc dera Humenèja; La Vall d'Aran; Pirineus; 2.783,1 m 
Tuc deth Pòrt; La Vall d'Aran; Pirineus; 2.783,0 m 
Pic de Flamisella; Pallars Sobirà; Pirineus; 2.782,1 m 
Muntanyó; Pallars Sobirà; Pirineus; 2.781,2 m 
Pic de Comaltes; Alta Ribagorça; Pirineus; 2.781,0 m 
la Torre de Cabús; Alt Urgell, Pallars Sobirà; Pirineus; 2.778,2 m 
Tuc de Lhuçà; Alta Ribagorça; Pirineus; 2.777,7 m 
Pic de la Lleia; Pallars Sobirà; Pirineus; 2.775,5 m 
Tossal de la Montanyeta; Alta Ribagorça; Pirineus; 2.771,4 m 
Agulles de Monestero; Pallars Sobirà; Pirineus; 2.766,1 m 
Bassiets; Alt Urgell, Pallars Sobirà; Pirineus; 2.762,9 m 
Tuc de Lasauguèda; Pallars Sobirà; Pirineus; 2.761,5 m 
Monturull; Alt Urgell; Pirineus; 2.760,4 m 
Bony Blanc; Alta Ribagorça; Pirineus; 2.755,7 m 
Pic de Travessani; Alta Ribagorça, La Vall d'Aran; Pirineus; 2.754,7 m 
Pic de la Tallada Llarga; Alta Ribagorça, La Vall d'Aran; Pirineus; 2.752,8 m 
Tuc de Balaguera; Alta Ribagorça, La Vall d'Aran; Pirineus; 2.752,8 m 
Pic Roi (la Vall de Boí); Alta Ribagorça; Pirineus; 2.750,4 m 
Gran Encantat; Pallars Sobirà; Pirineus; 2.748,7 m 
Agulles de Bassiero; Pallars Sobirà; Pirineus; 2.747,6 m 
Tuc de Serreta; Alta Ribagorça, La Vall d'Aran; Pirineus; 2.746,5 m 
Gran Encantat; Alta Ribagorça; Pirineus; 2.745,4 m 
Cim de la Coma del Clot; Ripollès; Pirineus; 2.739,0 m 
Pic Nord de Travessani; Alta Ribagorça, La Vall d'Aran; Pirineus; 2.736,4 m 
Petit Encantat; Pallars Sobirà; Pirineus; 2.734,3 m 
Pic del Portarró; Pallars Sobirà; Pirineus; 2.734,3 m 
Tretzevents; Vallespir; Canigó, Pirineus; 2.732 m 
Puig de Fontnegra; Ripollès; Pirineus; 2.727,7 m 
Bony Negre; Alta Ribagorça; Pirineus; 2.724,1 m 
Tuc des Costes; Alta Ribagorça; Pirineus; 2.723,3 m 
Gra de Fajol; Ripollès; Pirineus; 2.714,3 m 
Torreneules; Ripollès; Pirineus; 2.713,2 m 
Pic de Sudorn; Pallars Sobirà; Pirineus; 2.711,0 m 
